Obj_mks1,Obj_mks1,Obj_mks1,Obj_mks2,Obj_mks2,Obj_mks2,Obj_mks3,Obj_mks3,Obj_mks3,Obj_mks4,Obj_mks4,Obj_mks4,Obj_mks5,Obj_mks5,Obj_mks5
208.04,724.439,23.7047,408.962,725.786,22.5356,407.537,841.799,24.3384,410.632,726.438,-4.834,407.621,845.732,-4.4476
208.039,724.43,23.7139,408.958,725.788,22.5396,407.545,841.798,24.3463,410.643,726.433,-4.8215,407.622,845.742,-4.4372
208.045,724.448,23.708,408.96,725.786,22.5417,407.537,841.798,24.3416,410.637,726.449,-4.8123,407.619,845.752,-4.4323
208.037,724.448,23.7093,408.954,725.787,22.5403,407.537,841.8,24.3396,410.638,726.45,-4.8185,407.634,845.757,-4.4323
208.039,724.439,23.711,408.947,725.78,22.5496,407.532,841.791,24.3392,410.639,726.44,-4.806,407.6,845.725,-4.4787
208.032,724.439,23.7115,408.94,725.781,22.5515,407.534,841.787,24.3406,410.635,726.439,-4.7967,407.571,845.713,-4.5072
208.036,724.438,23.7081,408.922,725.768,22.5624,407.53,841.775,24.3411,410.631,726.432,-4.7882,407.526,845.669,-4.5316
208.091,724.532,23.9659,408.921,725.765,22.5767,407.535,841.777,24.346,410.633,726.437,-4.7578,407.505,845.626,-4.571
208.035,724.453,23.7129,408.918,725.77,22.5885,407.536,841.778,24.3478,410.614,726.437,-4.7626,407.481,845.624,-4.5801
208.039,724.447,23.7251,408.906,725.764,22.5917,407.54,841.779,24.3534,410.611,726.43,-4.7471,407.459,845.625,-4.6106
208.038,724.435,23.7223,408.909,725.761,22.5909,407.528,841.769,24.3492,410.611,726.425,-4.7332,407.421,845.561,-4.6415
208.032,724.447,23.7239,408.909,725.776,22.6083,407.529,841.759,24.3472,410.625,726.42,-4.7123,407.431,845.603,-4.6413
208.037,724.456,23.7225,408.882,725.754,22.623,407.533,841.764,24.3463,410.617,726.417,-4.7088,407.404,845.596,-4.6474
208.027,724.448,23.7233,408.88,725.772,22.6198,407.532,841.763,24.3541,410.611,726.419,-4.7046,407.357,845.537,-4.695
208.034,724.449,23.7242,408.886,725.768,22.6117,407.524,841.741,24.345,410.627,726.418,-4.7026,407.404,845.597,-4.6628
208.031,724.44,23.7204,408.88,725.741,22.6117,407.532,841.745,24.3461,410.608,726.42,-4.7025,407.361,845.56,-4.6839
208.032,724.449,23.718,408.881,725.747,22.6158,407.533,841.746,24.3452,410.609,726.414,-4.7108,407.39,845.588,-4.6734
208.065,724.493,23.7209,408.897,725.742,22.6143,407.531,841.753,24.3542,410.611,726.419,-4.7086,407.367,845.539,-4.6964
208.034,724.436,23.7304,408.881,725.734,22.616,407.534,841.74,24.3496,410.606,726.413,-4.7237,407.392,845.575,-4.6737
208.04,724.442,23.7281,408.88,725.744,22.6168,407.527,841.736,24.3435,410.612,726.405,-4.7116,407.392,845.571,-4.6698
208.045,724.428,23.7198,408.88,725.729,22.6255,407.545,841.749,24.347,410.619,726.416,-4.7154,407.394,845.592,-4.6623
208.048,724.433,23.7314,408.887,725.744,22.6213,407.539,841.748,24.3425,410.622,726.41,-4.7181,407.409,845.597,-4.6723
208.048,724.44,23.7247,408.892,725.739,22.6082,407.54,841.735,24.3436,410.638,726.414,-4.6963,407.357,845.495,-4.7031
208.038,724.433,23.7195,408.892,725.743,22.6132,407.541,841.744,24.3441,410.628,726.412,-4.7042,407.401,845.581,-4.6848
208.043,724.421,23.7176,408.891,725.721,22.6139,407.54,841.743,24.3407,410.64,726.414,-4.7098,407.36,845.513,-4.6973
208.047,724.415,23.7293,408.897,725.727,22.6186,407.542,841.733,24.3398,410.63,726.402,-4.7138,407.37,845.539,-4.6997
208.042,724.423,23.724,408.901,725.74,22.6232,407.552,841.745,24.3444,410.638,726.399,-4.7007,407.356,845.498,-4.7065
208.052,724.423,23.7356,408.879,725.718,22.613,407.552,841.74,24.3408,410.622,726.403,-4.7117,407.391,845.554,-4.695
208.052,724.419,23.7304,408.907,725.746,22.6178,407.537,841.733,24.3355,410.627,726.399,-4.7044,407.242,845.187,-4.894
208.041,724.42,23.724,408.898,725.739,22.6117,407.543,841.731,24.3417,410.64,726.4,-4.7038,407.339,845.441,-4.7574
208.049,724.411,23.7205,408.902,725.745,22.6142,407.546,841.746,24.3396,410.632,726.402,-4.7062,407.349,845.466,-4.7337
208.053,724.421,23.7212,408.89,725.738,22.6103,407.548,841.74,24.3401,410.639,726.408,-4.7069,407.35,845.467,-4.7372
208.044,724.429,23.7329,408.904,725.736,22.6157,407.543,841.73,24.3388,410.635,726.4,-4.7058,407.341,845.462,-4.7323
208.043,724.43,23.7208,408.894,725.742,22.6133,407.551,841.738,24.338,410.643,726.412,-4.7069,407.351,845.451,-4.745
208.05,724.437,23.7146,408.896,725.743,22.6198,407.556,841.748,24.3414,410.616,726.411,-4.7165,407.355,845.481,-4.7243
